ID,Nama,Tanggal,Jumlah
4941,Donna Jackson,2/26/2025,718
4942,Amber Merritt,3/23/2025,510
4943,Javier Hodge,11/1/2024,635
4944,Jose Smith,10/17/2024,389
4945,Daniel Ortiz,6/29/2024,280
4946,Scott Huerta,6/3/2024,837
4947,Joseph Chan,3/10/2025,472
4948,Robin Perez,3/24/2025,836
4949,Daniel Lowe,8/25/2024,969
4950,Wendy Smith,2/19/2025,703
4951,Emily Benjamin,5/23/2024,962
4952,Jennifer Stein,9/18/2024,463
4953,Michael Mays,6/13/2024,816
4954,Margaret Taylor,11/1/2024,922
4955,Holly Harris,4/18/2025,756
4956,Dr. James Gregory,12/9/2024,265
4957,Matthew Zhang,8/22/2024,316
4958,Kathy Smith,11/17/2024,98
4959,Thomas Sullivan,2/16/2025,675
4960,Rachael Sandoval,4/26/2025,326
4961,Allen Smith,12/13/2024,226
4962,Alice Lopez,11/4/2024,34
4963,Jamie Williams,2/12/2025,285
4964,Eric Phillips,10/19/2024,502
4965,Steven Farley,9/8/2024,174
4966,Michele Morgan,6/3/2024,798
4967,Natalie Owen,5/31/2024,143
4968,Jeffrey Frost,11/11/2024,586
4969,Steven Mills,8/16/2024,270
4970,Ashley Torres,10/5/2024,549
4971,Michelle Delacruz,2/8/2025,481
4972,Ryan Alexander,6/17/2024,359
4973,Amy Little,9/17/2024,635
4974,Mr. Jimmy Hale,6/15/2024,315
4975,Diane Hudson,7/15/2024,330
4976,John Cantrell,8/15/2024,141
4977,Daniel Dalton,4/7/2025,290
4978,David Cordova,12/5/2024,539
4979,Olivia Houston MD,5/2/2024,497
4980,Christopher Murphy,3/15/2025,691
4981,Lisa Richards,3/30/2025,94
4982,Amanda Stewart,9/2/2024,618
4983,Christopher Johnston,6/2/2024,103
4984,Timothy Bailey,5/17/2024,667
4985,John Webb,3/28/2025,287
4986,Mark Vaughn,12/17/2024,522
4987,Joshua Russell,3/6/2025,948
4988,Roberta Davis,11/10/2024,547
4989,Steven Fuentes,9/24/2024,402
4990,Megan Cordova,2/14/2025,555
4991,Hunter Smith,7/11/2024,333
4992,Dana Morales,4/9/2025,396
4993,Tina Carpenter,1/24/2025,564
4994,Edward Benton,9/29/2024,367
4995,Joseph Flynn,4/30/2024,941
4996,Dr. Erika Suarez,5/21/2024,543
4997,Daniel Henry,1/19/2025,424
4998,Stephanie Brandt,5/9/2024,629
4999,Andre Cowan,3/26/2025,189
5000,Heather Gilmore,1/2/2025,146
5001,Joy Mcdaniel,3/3/2025,309
5002,Edward Thomas,4/26/2025,306
5003,Joel Miller,12/13/2024,881
5004,Kristina Lee,5/12/2024,648
5005,Mary Owens,6/25/2024,796
5006,Troy Butler,11/8/2024,359
5007,Elizabeth Boyer,7/22/2024,460
5008,Charles Mitchell,11/26/2024,644
5009,Benjamin Cooper,12/11/2024,264
5010,Michael Dunn,2/5/2025,345
5011,Megan Meyer,10/19/2024,155
5012,Hector Nguyen,10/27/2024,843
5013,Jennifer Brady,3/19/2025,83
5014,Tiffany Johnson,2/1/2025,616
5015,Nancy Spencer,6/11/2024,847
5016,Michelle Duran,3/9/2025,715
5017,Maria Smith,3/8/2025,344
5018,Russell Espinoza,12/16/2024,412
5019,Jill Carter,3/17/2025,911
5020,Joel Blevins,10/23/2024,928
5021,Alexander Hall,5/9/2024,14
5022,Alex Macias,9/1/2024,418
5023,Michael Jimenez,1/19/2025,874
5024,Kyle Cruz,11/9/2024,359
5025,Shawn Stone,1/3/2025,454
5026,Christopher Brennan,5/30/2024,859
5027,Samantha Mendoza,3/28/2025,650
5028,Mary Anthony,4/12/2025,188
5029,William Davenport,10/19/2024,178
5030,Carmen Little,7/15/2024,313
5031,Mrs. Tiffany Guerrero PhD,4/10/2025,353
5032,Juan Johnson,6/28/2024,694
5033,Nicole Graham,6/22/2024,259
5034,Shane Reed,1/2/2025,549
5035,Kathryn Alvarez,7/27/2024,109
5036,Michael Lewis,8/27/2024,608
5037,Lisa Adams,11/28/2024,860
5038,Daniel Olsen,3/23/2025,948
5039,Joseph Dominguez,12/3/2024,63
5040,Dr. Tonya Travis,11/30/2024,998
5041,Brittany Hawkins,2/24/2025,121
5042,Terri Williams,12/12/2024,423
5043,Robert Gilmore,5/25/2024,492
5044,Robert Reynolds,7/4/2024,373
5045,Jennifer Wallace,8/27/2024,906
5046,Nathaniel Morales,10/12/2024,641
5047,Christopher Mccoy,4/14/2025,374
5048,Shawn West,12/22/2024,89
5049,Patrick James,12/1/2024,705
5050,John Roberts,4/1/2025,356
5051,Kenneth Johnson,10/22/2024,726
5052,Jennifer Thompson,10/20/2024,620
5053,Carol Hooper,11/4/2024,995
5054,Linda Murray,7/13/2024,675
5055,David Willis,9/24/2024,696
5056,Jonathan White,3/6/2025,447
5057,Kaylee Welch,7/4/2024,16
5058,Miguel Choi,3/26/2025,831
5059,Denise Stark,10/1/2024,204
5060,Teresa Martin,6/17/2024,41
5061,Faith Campbell,6/17/2024,808
5062,Parker James,4/21/2025,405
5063,Ashley Keller,4/6/2025,907
5064,Kim Walker,1/20/2025,947
5065,Amy Terry,7/24/2024,619
5066,Brian Walker,5/26/2024,346
5067,Sarah Butler,12/4/2024,44
5068,Daniel Andrews,3/6/2025,151
5069,Lauren Howard,1/1/2025,335
5070,Richard Russell,12/21/2024,22
5071,Angela Murphy,10/16/2024,851
5072,Dean Walker,10/13/2024,149
5073,Clarence Strickland,9/29/2024,256
5074,Brandon Gonzalez,2/1/2025,124
5075,Ashley Underwood,11/2/2024,412
5076,William Lopez,3/14/2025,571
5077,Sean Wright,11/5/2024,715
5078,Jessica Ward,11/28/2024,456
5079,James Shepherd,9/20/2024,538
5080,Peggy Lopez,1/9/2025,536
5081,Lindsey Peterson,1/1/2025,759
5082,Angela Leon,8/2/2024,71
5083,Omar Estes,8/22/2024,822
5084,Cindy Williams,10/25/2024,28
5085,Amy Berry,9/10/2024,753
5086,Bethany Cook,3/13/2025,135
5087,Anthony Riggs,9/24/2024,113
5088,Austin Price,11/12/2024,885
5089,Benjamin Taylor,10/28/2024,855
5090,Melissa Harris,7/9/2024,885
5091,James Garza,12/3/2024,377
5092,Barbara Bailey,11/12/2024,269
5093,Christine Miller,4/16/2025,677
5094,Michael Tucker,11/12/2024,121
5095,Pamela Fisher,4/6/2025,223
5096,Matthew Lowe,12/24/2024,184
5097,Wayne Zamora,6/3/2024,325
5098,Alejandro Lindsey,10/18/2024,322
5099,Stacie Taylor,12/14/2024,429
5100,Dennis Perez,2/19/2025,272
5101,Susan Ward,3/29/2025,819
5102,Cynthia Moore,1/27/2025,543
5103,Allison Miranda,9/11/2024,548
5104,Caroline Browning,3/4/2025,565
5105,Dr. Antonio Huff,8/21/2024,468
5106,Robert Black,6/28/2024,189
5107,Angela Griffin,7/22/2024,964
5108,Julie Greene,7/27/2024,745
5109,Jerry Quinn,11/20/2024,434
5110,Brandon Martinez,3/15/2025,934
5111,Kathy Kaiser,2/2/2025,207
5112,Donna Buchanan,1/22/2025,898
5113,Deborah Watkins,8/16/2024,386
5114,Paula Morgan,12/18/2024,683
5115,Jamie Lopez,10/14/2024,224
5116,Miguel Hines,6/2/2024,330
5117,Jessica Glover,1/23/2025,129
5118,Matthew Graves,10/1/2024,892
5119,Bryan Mcintyre,1/4/2025,107
5120,Terri Smith,4/29/2024,682
5121,Arthur Mueller,3/10/2025,609
5122,Antonio Griffin,6/10/2024,965
5123,Jessica Farley,12/12/2024,776
5124,Christina Boyd,3/15/2025,636
5125,Matthew Li,9/18/2024,510
5126,Andrew Floyd,8/24/2024,268
5127,Eddie Melendez,12/28/2024,125
5128,Dennis Anderson,12/17/2024,127
5129,Mary Potter,4/22/2025,78
5130,John Nelson,11/16/2024,504
5131,Tina Perry,1/3/2025,561
5132,Jeanette Rodriguez,6/21/2024,152
5133,Kimberly Deleon,9/2/2024,210
5134,Calvin Gomez,1/5/2025,555
5135,Mark Fuentes,6/22/2024,964
5136,Curtis Levine,8/3/2024,858
5137,Douglas Johnson,3/24/2025,393
5138,Sean Pierce,11/3/2024,460
5139,Donald Johnson,11/3/2024,984
5140,Stephanie Gonzalez,11/26/2024,624
5141,Robert Wallace,7/17/2024,777
5142,Amanda Haas,9/4/2024,532
5143,Leah Hines,9/11/2024,149
5144,Michelle Stark,3/22/2025,720
5145,Melissa James,10/29/2024,219
5146,Jonathan Jackson,7/3/2024,609
5147,Matthew Gonzales,8/10/2024,392
5148,Christopher Duncan,11/8/2024,359
5149,Thomas Nunez,6/22/2024,754
5150,Gloria Villegas,12/18/2024,506
5151,Maxwell Garner,3/8/2025,595
5152,Christopher Thornton,3/11/2025,580
5153,Aaron Rodriguez,10/13/2024,325
5154,Brian Gomez,7/30/2024,733
5155,Brittney Cooper,5/19/2024,524
5156,Danny Hubbard,11/4/2024,845
5157,Daniel Elliott,11/2/2024,743
5158,James Jordan,11/21/2024,947
5159,Jimmy Lopez,2/22/2025,528
5160,Jared Meyer,8/15/2024,411
5161,Mario Adams,12/2/2024,469
5162,Michelle Smith,4/25/2025,232
5163,Shane Swanson,2/7/2025,530
5164,Alexandra Henry,6/16/2024,121
5165,Eric Scott,9/26/2024,577
5166,Eric Smith,8/6/2024,818
5167,Valerie Rasmussen,1/24/2025,481
5168,Anna Black,5/8/2024,702
5169,Robert Miller,5/29/2024,107
5170,Sarah Fernandez,3/5/2025,902
5171,Joseph Jones,2/23/2025,984
5172,Jason Kane,9/30/2024,712
5173,Lindsay Clark,9/24/2024,363
5174,Veronica Martin,6/9/2024,686
5175,Shannon Garcia,3/3/2025,953
5176,John Spencer,5/1/2024,393
5177,Vanessa Hansen,8/24/2024,413
5178,Douglas Martin,2/15/2025,859
5179,Taylor Wright,6/24/2024,655
5180,Adrian Jones,5/21/2024,635
5181,James Murray,11/22/2024,249
5182,Jennifer Jones,10/15/2024,156
5183,William Wood,3/5/2025,169
5184,Cassandra Young,8/12/2024,298
5185,Evan Davis,4/26/2025,873
5186,Travis Landry,1/14/2025,490
5187,Cody Clay,2/7/2025,909
5188,Kelly Erickson,12/23/2024,589
5189,Nancy Armstrong,12/1/2024,169
5190,Michael Johnston DDS,4/27/2024,570
5191,Alexa Lopez,9/7/2024,717
5192,Caitlin Chen,12/27/2024,505
5193,Amanda Griffin,8/14/2024,399
5194,Timothy Brown,7/29/2024,870
5195,Shannon Nunez,8/23/2024,203
5196,Charles Henderson,7/26/2024,298
5197,Mrs. Brianna Peterson,5/31/2024,673
5198,Amy Mcpherson,7/19/2024,96
5199,Michael Kelley,11/26/2024,618
5200,Marissa Lopez,11/21/2024,967
5201,Melissa Allen,8/4/2024,429
5202,Nicole Morris,12/28/2024,709
5203,Brent Jacobs,1/12/2025,833
5204,Alexander Lozano,2/6/2025,338
5205,Michelle Smith,3/22/2025,913
5206,Rebecca Smith,3/11/2025,76
5207,Nicole Schneider,7/24/2024,462
5208,Sarah Hahn,2/22/2025,30
5209,Mark Smith,7/22/2024,388
5210,Barbara Rich,6/13/2024,486
5211,Jason Flores,1/24/2025,405
5212,George Tanner,6/7/2024,957
5213,Garrett Turner,3/15/2025,198
5214,Morgan Ritter,2/2/2025,863
5215,Craig Peterson,7/23/2024,291
5216,John Williams,12/11/2024,138
5217,Ruth Miller MD,8/15/2024,270
5218,Cody Burton,6/6/2024,959
5219,Brian Johnson,5/21/2024,681
5220,Kenneth Lyons,5/24/2024,244
5221,Ryan Johnson,8/30/2024,308
5222,Jeremy Mccarthy,9/8/2024,639
5223,Ryan Rangel,4/24/2025,29
5224,Kevin Sanchez,11/10/2024,144
5225,Rebecca Holt,4/25/2025,657
5226,Sandy Mcintyre,2/26/2025,692
5227,Ethan Pierce,4/15/2025,731
5228,Scott Burch,7/31/2024,708
5229,Stephen Snyder,2/4/2025,318
5230,Michelle Robinson,11/16/2024,132
5231,Joyce Perez,6/18/2024,257
5232,Leslie Lee,9/19/2024,215
5233,Carl Ortega,10/7/2024,291
5234,Steven Martinez,5/12/2024,441
5235,Crystal Randolph,4/24/2025,398
5236,Cassandra Mitchell,1/12/2025,223
5237,Zachary Nelson,5/15/2024,154
5238,Vincent Wilson,10/16/2024,305
5239,Michael Hernandez,8/19/2024,952
5240,Rebecca Quinn,3/12/2025,461
5241,Adrian Kim,4/22/2025,779
5242,Melissa Jones,6/16/2024,227
5243,Audrey Johnson,3/14/2025,295
5244,Amanda Rodriguez,12/18/2024,903
5245,Leroy Acosta,4/26/2025,685
5246,Gina Wiley,2/27/2025,677
5247,Jessica Collins,11/13/2024,31
5248,Donna Long,8/13/2024,641
5249,Jeffrey Newman,1/26/2025,744
5250,Cassandra Fernandez,10/4/2024,840
5251,Bobby White,1/12/2025,603
5252,Kevin Johnson,5/7/2024,825
5253,Trevor Berry,9/19/2024,647
5254,Paula Flynn,4/11/2025,381
5255,David Macdonald,9/25/2024,199
5256,David Jones,11/28/2024,955
5257,Robert Ramos,6/7/2024,276
5258,Samantha Fernandez,2/7/2025,912
5259,Natasha Melton,5/25/2024,196
5260,William Strickland,2/28/2025,945
5261,William Miller,3/14/2025,454
5262,Zachary Morgan,1/21/2025,604
5263,Richard Arias,5/24/2024,191
5264,Rachel Edwards,8/7/2024,788
5265,Tina Taylor,9/13/2024,427
5266,Sara Fritz,12/25/2024,489
5267,Angela Wiley,7/8/2024,186
5268,Haley Rodriguez,4/30/2024,98
5269,Cody Willis,3/4/2025,800
5270,Julia Bates,10/31/2024,289
5271,Christina Adams,5/24/2024,637
5272,Bobby Brown,6/10/2024,991
5273,Donna Gonzales,10/3/2024,174
5274,Evelyn Hicks,4/4/2025,691
5275,Melissa Young,7/5/2024,87
5276,Matthew Rodriguez,9/19/2024,110
5277,Jeffrey Hess,10/13/2024,22
5278,Michael Robinson,5/3/2024,274
5279,Jose Mora,12/25/2024,369
5280,Olivia Becker,8/3/2024,917
5281,Lauren Lambert,4/20/2025,404
5282,Melissa Lowe,10/13/2024,46
5283,Joel Yang,10/31/2024,772
5284,Eric Hoffman PhD,11/12/2024,580
5285,Megan Byrd,3/8/2025,16
5286,Suzanne Miller,4/24/2025,468
5287,Tara Atkinson,11/15/2024,532
5288,Julie Grant,11/28/2024,19
5289,Kim Harmon,3/27/2025,961
5290,Carol Martinez,8/17/2024,811
5291,Bryce Henderson,10/28/2024,96
5292,Stacy Jackson,1/11/2025,352
5293,Michael Todd,2/6/2025,466
5294,Thomas Cruz,11/22/2024,997
5295,Robert Collins,2/12/2025,522
5296,Ashley Holmes,8/17/2024,878
5297,Robert Carrillo,7/3/2024,846
5298,Michael Nguyen,9/2/2024,766
5299,Stephanie Rivera,2/18/2025,943
5300,Terri Johnson,7/14/2024,417
5301,Kyle Wagner,3/1/2025,322
5302,Kevin Khan,4/14/2025,474
5303,Brian Robbins,7/20/2024,435
5304,Sheila Maxwell,5/20/2024,218
5305,Patrick Shea,8/21/2024,659
5306,Shelby Madden,6/12/2024,780
5307,Jessica James,8/30/2024,190
5308,Eduardo Wilson,5/21/2024,667
5309,Natasha Hoover,9/29/2024,346
5310,Deborah Michael,11/27/2024,172
5311,Justin Freeman,5/27/2024,859
5312,Elizabeth Caldwell,2/10/2025,451
5313,Joshua Fisher,11/10/2024,70
5314,Rachel Floyd,6/3/2024,206
5315,Cathy Sandoval,7/21/2024,123
5316,James Nelson,7/4/2024,451
5317,Jill Russo,12/10/2024,364
5318,Erin Reese,3/22/2025,290
5319,Jodi Murphy,10/25/2024,953
5320,Barbara Sanders,11/21/2024,459
5321,Christopher Dodson,11/25/2024,95
5322,Gregory Harrison,12/13/2024,970
5323,Cheyenne Harvey,10/24/2024,166
5324,Edward Washington,7/27/2024,711
5325,Rose Reynolds,1/31/2025,581
5326,Dr. Matthew Edwards,7/2/2024,188
5327,Barbara Smith,1/11/2025,696
5328,Scott Jones,4/15/2025,328
5329,Veronica Hawkins,5/28/2024,567
5330,Elizabeth Thomas,4/21/2025,423
5331,Krystal Bell,8/31/2024,765
5332,Dr. Donald Wagner V,2/14/2025,540
5333,Kimberly Thomas,4/17/2025,378
5334,Autumn Martinez,9/6/2024,961
5335,Joshua Holt,10/15/2024,523
5336,Peter Lee,12/2/2024,606
5337,Brandon Meza,1/20/2025,510
5338,Danielle Vincent,12/11/2024,152
5339,Deborah Figueroa,6/29/2024,228
5340,Robert Chaney,4/17/2025,598
5341,Michael Gonzales,5/4/2024,590
5342,Kimberly Mcintosh,3/24/2025,709
5343,Molly Murphy,1/1/2025,611
5344,Amanda Collins,8/7/2024,389
5345,Eric Cunningham,2/3/2025,711
5346,Melissa Briggs,9/21/2024,952
5347,Anna Mora,2/10/2025,250
5348,Tina Hill,8/7/2024,53
5349,Lauren Singleton,10/25/2024,630
5350,Morgan White,6/22/2024,587
5351,Bradley Grant,4/14/2025,634
5352,Richard Conway,3/17/2025,566
5353,Ronald Gentry,3/20/2025,912
5354,Jessica Meyer,3/19/2025,712
5355,Sean Montgomery,11/9/2024,163
5356,David Oneal,1/3/2025,518
5357,Danny Wood,3/28/2025,288
5358,Michael Tran,5/14/2024,882
5359,Randall Lee,12/31/2024,401
5360,Stephanie Greene,8/18/2024,882
5361,Anthony Ellis,4/12/2025,801
5362,Connie Mahoney,7/11/2024,221
5363,Sharon Holmes,3/11/2025,698
5364,Sarah Montgomery,11/26/2024,460
5365,Becky Abbott,3/11/2025,106
5366,Tamara Franklin,2/17/2025,219
5367,Shelly Hancock,7/12/2024,540
5368,Louis Patrick,10/15/2024,449
5369,David Rodriguez,1/2/2025,490
5370,James Obrien,3/25/2025,80
5371,Beverly Marshall,7/26/2024,875
5372,Clifford Carter,7/15/2024,685
5373,Joseph Robinson,5/24/2024,397
5374,Kevin Browning,5/23/2024,320
5375,Erin Barron,8/12/2024,454
5376,Jonathan Wright,7/7/2024,107
5377,Kathryn Mayer,11/22/2024,280
5378,Julie Rivera,3/26/2025,845
5379,Mary Tucker,2/4/2025,663
5380,Daniel Owen,8/23/2024,967
5381,John Rodriguez,12/9/2024,301
5382,Kevin Marshall,10/4/2024,200
5383,Jennifer Ferguson,9/15/2024,645
5384,Brian Neal,5/8/2024,495
5385,Sarah Lee,6/25/2024,667
5386,Mr. Todd Fitzgerald MD,11/6/2024,775
5387,Maria Potter,6/24/2024,791
5388,Thomas Watts,4/16/2025,292
5389,Christopher Becker,2/2/2025,609
5390,Veronica Rodriguez,5/26/2024,810
5391,Daniel Griffith,8/26/2024,466
5392,Mary Bates,2/28/2025,109
5393,Thomas Wood,8/21/2024,597
5394,Candice Molina,8/5/2024,782
5395,Sheri Gilbert,4/29/2024,338
5396,Rodney Robinson,8/25/2024,733
5397,Amanda Ortiz,12/15/2024,687
5398,Michael Wood,4/19/2025,531
5399,Matthew Mills,8/30/2024,887
5400,Shannon Dunlap,12/13/2024,254
5401,Francis Lee,7/10/2024,44
5402,Veronica Choi,5/9/2024,670
5403,Bernard Brown,9/17/2024,101
5404,Elizabeth Rodriguez,9/11/2024,978
5405,Casey Sloan,2/21/2025,143
5406,Dennis Clark,7/8/2024,60
5407,Laura Boone,12/22/2024,863
5408,Tiffany Robinson,5/29/2024,145
5409,Jennifer Reyes,9/6/2024,963
5410,Kristy Wade,4/13/2025,796
5411,Jennifer Cook,11/23/2024,791
5412,Amanda Ayala,1/22/2025,549
5413,Raymond Tanner,8/14/2024,303
5414,Norma Stanley,9/9/2024,476
5415,Cindy Fischer,2/3/2025,925
5416,Anthony Alvarez,12/10/2024,892
5417,Brianna Rose,5/4/2024,468
5418,Madison Jennings,12/30/2024,805
5419,Alicia French,8/9/2024,764
5420,Ms. Mary King,8/18/2024,347
5421,Gabriel Hale,11/4/2024,63
5422,Sydney Jordan,12/4/2024,855
5423,Crystal Moore,6/14/2024,129
5424,Jamie Rowe,7/3/2024,571
5425,Stephanie Martin,10/8/2024,649
5426,Crystal Gomez,7/16/2024,43
5427,Kathryn Carlson,8/24/2024,570
5428,Anna Lee,4/29/2024,996
5429,Angela Moore,2/17/2025,303
5430,Stephanie Wheeler,3/16/2025,66
5431,Bradley Alvarez,7/21/2024,175
5432,Robert Gonzalez,3/2/2025,373
5433,Grant Webb,8/31/2024,613
5434,Brandi Sandoval,1/7/2025,406
5435,Bobby Diaz,2/17/2025,828
5436,Alexis Morris,2/25/2025,990
5437,Taylor Carrillo,11/26/2024,899
5438,Steven Gutierrez,1/21/2025,626
5439,Sara Sutton,3/14/2025,424
5440,Maria Miller,12/3/2024,681
5441,Kristina Ortiz,10/2/2024,641
5442,Cameron Spencer,7/10/2024,113
5443,Kenneth Gomez,4/20/2025,557
5444,Antonio Garza,10/10/2024,564
5445,Stephanie Owens,7/4/2024,796
5446,Lauren Silva DDS,7/4/2024,797
5447,Ronald Thomas,5/19/2024,434
5448,Anthony Knight,10/11/2024,374
5449,Craig Contreras,2/16/2025,157
5450,Brian Wolf,11/2/2024,959
5451,Lynn Fitzpatrick,12/8/2024,786
5452,Zachary Avila,8/5/2024,155
5453,Kayla Allen,1/31/2025,227
5454,Donald Navarro,1/11/2025,333
5455,Jacqueline Nelson,3/7/2025,651
5456,Jeanne Estrada,6/2/2024,541
5457,Pamela Jenkins,9/20/2024,282
5458,John Oneal,12/27/2024,366
5459,Kimberly Fitzgerald,12/17/2024,613
5460,Steven Cooper,7/12/2024,209
5461,Sheila Velazquez,11/14/2024,970
5462,Lawrence Hendricks,9/3/2024,703
5463,David Lyons,9/15/2024,624
5464,Jessica Smith,4/27/2024,698
5465,Stacy Medina,3/14/2025,120
5466,Stephanie Parks,9/29/2024,903
5467,Sarah Clark,1/6/2025,728
5468,Chris Collins,12/2/2024,579
5469,John Smith,4/2/2025,452
5470,John Vasquez,6/13/2024,689
5471,Emily Johnson,2/4/2025,352
5472,Billy Hendricks,11/20/2024,913
5473,Dean Richards,1/13/2025,817
5474,Bethany Jefferson,10/17/2024,566
5475,Jacob Lee,9/30/2024,90
5476,Amy Wise,9/17/2024,157
5477,Teresa Kim,5/9/2024,252
5478,Daniel Bryant,8/10/2024,277
5479,Elizabeth Simmons,5/3/2024,234
5480,Amy Harding,11/27/2024,18
5481,Sophia Cole,9/14/2024,977
5482,Kenneth Conrad,2/4/2025,358
5483,John Lucero,6/22/2024,329
5484,Erin Moore,12/6/2024,275
5485,Susan Hughes,8/5/2024,474
5486,Ryan Smith,8/3/2024,760
5487,Clifford Rogers,4/19/2025,803
5488,David King,10/6/2024,608
5489,Richard Silva,11/6/2024,874
5490,Jessica Pruitt DVM,7/20/2024,807
5491,William Miller,10/21/2024,24
5492,Thomas Perez,5/24/2024,380
5493,Sarah Smith MD,3/7/2025,164
5494,Kimberly Nash,1/31/2025,399
5495,Dr. Jennifer Phillips,11/17/2024,691
5496,Bradley Williams,1/24/2025,350
5497,Ruben Robinson,6/17/2024,750
5498,Alexander Brooks,8/27/2024,647
5499,Stephen Kramer,4/26/2025,449
5500,Tony Rhodes,2/2/2025,263
5501,Jamie Gallegos,8/17/2024,865
5502,Michael Brown,8/7/2024,131
5503,Lindsey Blackburn,2/26/2025,773
5504,Jennifer Montgomery,5/24/2024,196
5505,Daniel Huang,10/30/2024,10
5506,Erica Lane,6/30/2024,412
5507,Jennifer Cowan,9/27/2024,970
5508,Jennifer Sandoval,6/5/2024,342
5509,Anna Elliott,9/12/2024,642
5510,Ashley Kline,12/11/2024,334
5511,Brandon David,11/26/2024,276
5512,Robert Smith,11/22/2024,155
5513,Amy Scott,6/30/2024,786
5514,Robert Harrison,5/22/2024,559
5515,Angelica Bradshaw,10/14/2024,224
5516,Christine Lee,1/7/2025,44
5517,Ms. Chelsea Montes,2/15/2025,85
5518,Peter Garrison,1/19/2025,331
5519,Dawn Brown,8/28/2024,221
5520,Scott Kim,10/12/2024,332
5521,Daniel Perry,11/30/2024,159
5522,James Cooper,4/7/2025,404
5523,Jonathan Miller,3/27/2025,644
5524,Sharon Ramirez,7/10/2024,173
5525,Amanda Robles,6/16/2024,947
5526,Derrick Harris,7/6/2024,967
5527,Maria Williams,7/28/2024,85
5528,Robert Green,7/22/2024,115
5529,Daniel Little,2/26/2025,156
5530,Robert Hall MD,6/20/2024,729
5531,Regina Jensen,10/29/2024,526
5532,Austin Smith,8/3/2024,80
5533,Brian Thomas,5/8/2024,458
5534,Alexandra Potter,4/7/2025,276
5535,Mark Henry,3/9/2025,278
5536,Michael Sanders,4/3/2025,954
5537,Jessica Morris,8/27/2024,542
5538,Peter Smith,8/10/2024,544
5539,Emily Johnson,10/25/2024,179
5540,Ray Wheeler,4/13/2025,977
5541,Jorge Mullins,8/12/2024,62
5542,Luis Brooks,3/3/2025,377
5543,John Mcdonald,11/26/2024,83
5544,Robert Carpenter,11/2/2024,475
5545,David Gibson,7/23/2024,93
5546,Amy Edwards,10/26/2024,231
5547,Briana Clark,9/2/2024,654
5548,Joseph Carroll,6/17/2024,344
5549,Shannon Abbott,11/22/2024,320
5550,Michael Clark,8/24/2024,994
5551,Cindy Alexander,9/7/2024,236
5552,Kelly Smith,1/30/2025,334
5553,Tyler Mccoy,11/13/2024,920
5554,Matthew Taylor,2/25/2025,919
5555,Harold Bruce,3/2/2025,801
5556,Pamela Vasquez,9/26/2024,891
5557,Travis Gentry,12/23/2024,293
5558,Carlos Franco,11/29/2024,125
5559,Nathan Newton,3/6/2025,940
5560,Kelly Doyle,6/18/2024,953
5561,Kevin Buchanan,3/8/2025,416
5562,Summer Ho,2/24/2025,906
5563,Jason Moore,11/15/2024,824
5564,Jennifer Carrillo,10/4/2024,283
5565,Heather Hill,7/23/2024,171
5566,Emma Ritter,12/26/2024,445
5567,Stacy Nguyen PhD,11/12/2024,638
5568,Sharon Miller,6/19/2024,530
5569,Thomas Flowers,5/20/2024,716
5570,Tyler Ewing,5/8/2024,193
5571,Ashley Carter,1/7/2025,845
5572,Michael Anderson DDS,8/31/2024,160
5573,Todd Marshall,1/21/2025,117
5574,April Roberts,11/12/2024,131
5575,Colleen Peterson,3/23/2025,521
5576,Sierra Martinez,12/17/2024,991
5577,Dr. Lisa Brown,9/13/2024,735
5578,Tina Johnson,7/15/2024,229
5579,Michael Dalton,3/18/2025,869
5580,Natasha Adkins,3/19/2025,235
5581,Danny Kidd,6/5/2024,873
5582,Jason Williams,3/25/2025,245
5583,Benjamin Thomas,2/12/2025,261
5584,John Manning,4/8/2025,328
5585,Herbert Olsen,3/23/2025,216
5586,Melissa Frost,8/8/2024,948
5587,Terry Gray,8/2/2024,344
5588,Alexandra Keller,12/1/2024,162
5589,Lauren Ross,12/10/2024,250
5590,Angela Reed,7/18/2024,989
5591,Brandon Willis,6/19/2024,434
5592,Carrie Jefferson,2/2/2025,363
5593,Brian Elliott,3/26/2025,741
5594,Joseph Garza,12/27/2024,562
5595,Megan Dennis,6/28/2024,172
5596,Laura Moore,10/25/2024,554
5597,Mrs. Lisa Lopez,4/13/2025,602
5598,Karen Bennett MD,6/17/2024,997
5599,Ryan Hernandez DVM,12/8/2024,220
5600,Shannon Owen,8/27/2024,602
5601,Samuel Arellano,11/27/2024,882
5602,Bryan Kennedy,4/2/2025,898
5603,Alyssa Fox,3/31/2025,780
5604,Lauren Lopez,12/23/2024,604
5605,Patty Torres,5/7/2024,513
5606,Joseph Alvarez,9/16/2024,811
5607,Jennifer Campbell,7/19/2024,383
5608,Pamela Norton,12/12/2024,604
5609,Shelby West,1/6/2025,733
5610,Jaclyn Kim,1/21/2025,312
5611,Anthony Rivera,3/11/2025,473
5612,Andrea Jones,10/25/2024,978
5613,Albert Hendricks,12/7/2024,218
5614,Matthew Wiley,9/26/2024,242
5615,Ashley Collins,9/12/2024,132
5616,Jason Jordan,1/14/2025,157
5617,Kimberly Hunter,8/10/2024,216
5618,Cynthia Nelson,6/28/2024,461
5619,Nicole Green,10/12/2024,465
5620,Mark Galloway,7/1/2024,299
5621,Isaac Morris,4/26/2025,724
5622,Jason Clayton,10/28/2024,374
